date,EUR-OPEN,EUR-HIGH,EUR-LOW,USD-OPEN,USD-HIGH,USD-LOW,GBP-OPEN,GBP-HIGH,GBP-LOW,JPY-OPEN,JPY-HIGH,JPY-LOW,JPY
1997.11.3,1096.99,1103.15,1096.99,969.5,971,969.5,1610.4,1636.87,1609.92,801.08,810.45,793.7,799.38
1997.11.4,1095.57,1100.63,1095.57,974,974.1,954,1619.02,1634.88,1592.2,799.01,804.26,777.16,787.38
1997.11.5,1110.13,1115.21,1110.13,967,973.8,967,1612.07,1639.05,1606.8,789.86,800.06,780.07,788.07
1997.11.6,1117.07,1117.67,1117.07,969.1,975.6,969.1,1623.36,1653.36,1620.95,787.48,796.39,785.19,791.14
1997.11.7,1126.52,1132.78,1126.52,980,985.4,980,1647.53,1669.76,1643.45,790.63,800.57,783.76,788.1
1997.11.10,1151.71,1154.28,1151.71,982,1001.1,982,1642.49,1694.69,1638,791.79,809.04,787.15,801.48
1997.11.11,1138.17,1144.94,1138.17,999.9,999.9,985,1688.32,1705.99,1665.71,799.89,805.58,782.06,792.95
1997.11.12,1134.33,1140.59,1134.33,991,992.3,989,1679.92,1703.8,1674.77,790.32,796.56,777.44,782.45
1997.11.13,1126.98,1132.06,1126.98,984,992.2,984,1676.37,1689.93,1645.18,775.01,794.69,774.09,785.47
1997.11.14,1123.41,1129.62,1123.41,987,992,987,1669.55,1686.04,1646.48,781.72,792.33,772.32,787.08
1997.11.17,1149.22,1155.19,1149.22,990,1013.6,990,1667.86,1720.59,1660.57,783.8,816.96,778.16,804.14
1997.11.18,1155.95,1162.18,1155.95,1017.8,1017.8,1015,1718.21,1727.78,1706.9,799.2,811.58,797.43,804.76
1997.11.19,1177.29,1183.53,1177.29,1025,1039,1025,1708.92,1761.24,1706.9,800.38,823.11,799.05,814.74
1997.11.20,1298.46,1298.74,1298.46,1060,1139,1060,1741.22,1935.73,1738.64,810.45,904.87,809.94,904.65
1997.11.21,1198.14,1203.8,1198.14,1104.5,1112.5,1030.5,1921.72,1933.63,1732.4,904.33,908.41,814.09,834.42
1997.11.24,1230.66,1233.78,1230.66,1067.5,1122.5,1022.5,1775.14,1897.34,1722.78,830.57,885.74,805.18,853.64
1997.11.25,1269.09,1269.93,1269.09,1115.25,1125.25,1100.25,1825.85,1902.23,1823.9,850.73,886.72,849.46,881.29
1997.11.26,1247.64,1247.92,1247.64,1100,1123,1100,1881.32,1884.67,1843.05,880.3,883.24,860.38,873.91
1997.11.27,1254.85,1255.8,1254.85,1100.5,1120,1100.5,1857.47,1875.72,1840.63,872.85,882.54,865.6,881.84
1997.11.28,1312.76,1313.35,1312.76,1127,1172,1127,1870.74,1976.45,1869.85,881.45,918.52,879.37,914.57
1997.12.1,1318.28,1322.22,1318.28,1168,1188,1163,1977.62,1999.76,1954.02,916.25,927.03,907.81,921.46
1997.12.2,1368.11,1368.72,1368.11,1195,1280,1195,2014.53,2159.98,2007.36,929.6,993.44,924.14,954.86
1997.12.3,1336.25,1339.09,1336.25,1267,1292,1152,2063.65,2172.07,1934.3,954.38,1005.31,893.07,929.46
1997.12.4,1300.82,1301.4,1300.82,1125,1185,1125,2010.59,2012,1892.25,927.58,929.23,872.09,898.97
1997.12.5,1364.31,1367.39,1364.31,1147.5,1234.5,1147.5,1937.44,2053.82,1901.85,898.9,956.36,882.81,944.58
1997.12.8,1485.63,1486.31,1485.63,1230,1342.4,1230,2037.25,2227.31,2032.34,946.65,1033.15,942.44,1029.45
1997.12.9,1618.87,1619.6,1618.87,1450,1465.7,1450,2391.05,2424.86,2382.06,1111.53,1132.55,1110.26,1129.68
