date,EUR-OPEN,EUR-HIGH,EUR-LOW,JPY-OPEN,JPY-HIGH,JPY-LOW,USD-OPEN,USD-HIGH,USD-LOW,GBP-OPEN,GBP-HIGH,GBP-LOW,GBP
2019.2.1,1273.26,1285.98,1272.46,10.2171,10.2965,10.2041,1112.4,1120.31,1111.6,1458.24,1468.24,1455.43,1464.17
2019.2.4,1282.04,1286.01,1278.74,10.2187,10.2453,10.1634,1119,1123.39,1118.4,1464.33,1469.34,1459.29,1460.02
2019.2.5,1281.06,1285.53,1273.55,10.1903,10.2202,10.154,1119.86,1122.41,1116.8,1459.72,1464.78,1444.22,1446.19
2019.2.6,1275.59,1279.72,1273.67,10.1634,10.2347,10.1563,1117.57,1122.39,1117.2,1446.59,1455.92,1445.86,1450.93
2019.2.7,1274.19,1279.93,1273.37,10.1978,10.2733,10.1886,1121.8,1127.25,1120.4,1450.61,1462.72,1446.77,1457.13
2019.2.8,1275.6,1279.12,1270.84,10.2428,10.2754,10.2052,1124.81,1127.92,1121.3,1457.19,1460.77,1450.22,1456
2019.2.11,1273.49,1275.64,1268.55,10.2363,10.2537,10.1806,1124.05,1127.78,1122.76,1455.83,1457.02,1446.89,1447.01
2019.2.12,1269.73,1273.54,1265.8,10.2005,10.2126,10.1444,1125.99,1128.17,1120.8,1447.02,1452.09,1442.09,1445.57
2019.2.13,1269.86,1274.41,1266.97,10.1497,10.1737,10.1198,1121.29,1126.2,1119.9,1445.56,1456.54,1444.67,1445.93
2019.2.14,1268.14,1275.58,1265.68,10.1405,10.2082,10.1171,1125.59,1129.58,1123.8,1445.98,1450.36,1440.19,1443.09
2019.2.15,1272.27,1276.95,1266.19,10.1959,10.2513,10.1813,1126.4,1130.87,1125.7,1442.03,1453.46,1441.41,1451.98
2019.2.18,1272.56,1277.36,1271.09,10.2083,10.211,10.1647,1126.44,1127.73,1123.3,1453.43,1458.13,1450.75,1455.76
2019.2.19,1273.51,1278.27,1271.27,10.1794,10.2225,10.1441,1126.1,1129.52,1122.5,1455.27,1469.71,1453.72,1466.98
2019.2.20,1273.62,1277.57,1270.99,10.1507,10.1696,10.1128,1122.92,1125.24,1120.8,1466.92,1470.97,1460.57,1465.86
2019.2.21,1273.4,1279.86,1272.35,10.1319,10.1887,10.1227,1123.22,1127.45,1122,1465.97,1474.34,1463.86,1468.88
2019.2.22,1276.08,1279.08,1270.71,10.1662,10.1897,10.1305,1125.63,1127.7,1121.2,1469.01,1470.81,1457.77,1465.89
2019.2.25,1273.61,1274.95,1264.93,10.1486,10.1585,10.0311,1123.31,1124.31,1115.5,1468.73,1469.9,1456.74,1461.7
2019.2.26,1267.91,1273.27,1267.04,10.0497,10.1151,10.0465,1116.06,1120.22,1114.64,1461.61,1484.73,1460.71,1478.3
2019.2.27,1270.62,1276.45,1269.48,10.0882,10.1509,10.0608,1115.61,1120.91,1114.9,1478.08,1495.29,1477.62,1488.24
2019.2.28,1271.87,1282.99,1270.48,10.0771,10.1723,10.0725,1118.5,1126.77,1117.1,1488.75,1498.62,1487.41,1493.28
2019.3.1,1281.21,1285.32,1277.13,10.1045,10.1126,10.0442,1125.6,1128.22,1124.1,1492.77,1496.8,1484.2,1488.97
2019.3.4,1283.13,1285.16,1274.81,10.0879,10.1049,10.034,1127.66,1128.36,1123.75,1492.52,1496.01,1483.19,1485.63
2019.3.5,1277.29,1281.85,1272.38,10.0806,10.1086,10.0532,1126.46,1129.48,1125.28,1485.68,1489.33,1475.91,1483.6
2019.3.6,1273.07,1278.15,1272.31,10.0622,10.1168,10.0603,1125.81,1130.77,1125.5,1483.37,1488.06,1480.26,1486.08
2019.3.7,1275.85,1279.32,1267.81,10.096,10.1816,10.0899,1128.38,1135.9,1126.8,1486.07,1489.91,1480.07,1484.98
2019.3.8,1270.44,1279.17,1267.19,10.1695,10.2674,10.1508,1134.87,1138.03,1132.16,1485.14,1490.82,1471.16,1476.06
2019.3.11,1274.79,1277.33,1271.87,10.2066,10.2538,10.1694,1134.1,1137.4,1131.1,1476.21,1492.38,1468.94,1488.57
2019.3.12,1273.13,1276.62,1269.81,10.1774,10.1858,10.1214,1131.77,1132.69,1127.4,1488.62,1503.63,1471.01,1475.33
