date,EUR-OPEN,EUR-HIGH,EUR-LOW,JPY-OPEN,JPY-HIGH,JPY-LOW,USD-OPEN,USD-HIGH,USD-LOW,GBP-OPEN,GBP-HIGH,GBP-LOW,GBP
1997.11.3,1096.99,1103.15,1096.99,8.0108,8.1045,7.937,969.5,971,969.5,1610.4,1636.87,1609.92,1627.69
1997.11.4,1095.57,1100.63,1095.57,7.9901,8.0426,7.7716,974,974.1,954,1619.02,1634.88,1592.2,1618.8
1997.11.5,1110.13,1115.21,1110.13,7.8986,8.0006,7.8007,967,973.8,967,1612.07,1639.05,1606.8,1631.84
1997.11.6,1117.07,1117.67,1117.07,7.8748,7.9639,7.8519,969.1,975.6,969.1,1623.36,1653.36,1620.95,1650.13
1997.11.7,1126.52,1132.78,1126.52,7.9063,8.0057,7.8376,980,985.4,980,1647.53,1669.76,1643.45,1655.72
1997.11.10,1151.71,1154.28,1151.71,7.9179,8.0904,7.8715,982,1001.1,982,1642.49,1694.69,1638,1692.21
1997.11.11,1138.17,1144.94,1138.17,7.9989,8.0558,7.8206,999.9,999.9,985,1688.32,1705.99,1665.71,1687.46
1997.11.12,1134.33,1140.59,1134.33,7.9032,7.9656,7.7744,991,992.3,989,1679.92,1703.8,1674.77,1687.66
1997.11.13,1126.98,1132.06,1126.98,7.7501,7.9469,7.7409,984,992.2,984,1676.37,1689.93,1645.18,1677.32
1997.11.14,1123.41,1129.62,1123.41,7.8172,7.9233,7.7232,987,992,987,1669.55,1686.04,1646.48,1670.5
1997.11.17,1149.22,1155.19,1149.22,7.838,8.1696,7.7816,990,1013.6,990,1667.86,1720.59,1660.57,1714.28
1997.11.18,1155.95,1162.18,1155.95,7.992,8.1158,7.9743,1017.8,1017.8,1015,1718.21,1727.78,1706.9,1716.37
1997.11.19,1177.29,1183.53,1177.29,8.0038,8.2311,7.9905,1025,1039,1025,1708.92,1761.24,1706.9,1750.13
1997.11.20,1298.46,1298.74,1298.46,8.1045,9.0487,8.0994,1060,1139,1060,1741.22,1935.73,1738.64,1922.97
1997.11.21,1198.14,1203.8,1198.14,9.0433,9.0841,8.1409,1104.5,1112.5,1030.5,1921.72,1933.63,1732.4,1787.49
1997.11.24,1230.66,1233.78,1230.66,8.3057,8.8574,8.0518,1067.5,1122.5,1022.5,1775.14,1897.34,1722.78,1830.18
1997.11.25,1269.09,1269.93,1269.09,8.5073,8.8672,8.4946,1115.25,1125.25,1100.25,1825.85,1902.23,1823.9,1880.84
1997.11.26,1247.64,1247.92,1247.64,8.803,8.8324,8.6038,1100,1123,1100,1881.32,1884.67,1843.05,1857.42
1997.11.27,1254.85,1255.8,1254.85,8.7285,8.8254,8.656,1100.5,1120,1100.5,1857.47,1875.72,1840.63,1872.37
1997.11.28,1312.76,1313.35,1312.76,8.8145,9.1852,8.7937,1127,1172,1127,1870.74,1976.45,1869.85,1975.28
1997.12.1,1318.28,1322.22,1318.28,9.1625,9.2703,9.0781,1168,1188,1163,1977.62,1999.76,1954.02,1996.72
1997.12.2,1368.11,1368.72,1368.11,9.296,9.9344,9.2414,1195,1280,1195,2014.53,2159.98,2007.36,2064.89
1997.12.3,1336.25,1339.09,1336.25,9.5438,10.0531,8.9307,1267,1292,1152,2063.65,2172.07,1934.3,2015.75
1997.12.4,1300.82,1301.4,1300.82,9.2758,9.2923,8.7209,1125,1185,1125,2010.59,2012,1892.25,1937.56
1997.12.5,1364.31,1367.39,1364.31,8.989,9.5636,8.8281,1147.5,1234.5,1147.5,1937.44,2053.82,1901.85,2041.4
1997.12.8,1485.63,1486.31,1485.63,9.4665,10.3315,9.4244,1230,1342.4,1230,2037.25,2227.31,2032.34,2212.68
1997.12.9,1618.87,1619.6,1618.87,11.1153,11.3255,11.1026,1450,1465.7,1450,2391.05,2424.86,2382.06,2421.05
1997.12.10,1733.76,1734.55,1733.76,11.292,12.2049,10.8192,1400,1565.9,1400,2421.04,2588.43,2310.98,2584.36
1997.12.11,1931.34,1931.77,1931.34,12.0966,13.3727,12.09,1690,1719.8,1690,2579.82,2854.18,2579.82,2849.71
1997.12.12,1901.18,1904.82,1901.18,13.2547,13.9366,12.3001,1602.5,1812.5,1602.5,2851.94,3004.15,2651.2,2828.19
