date,EUR-OPEN,EUR-HIGH,EUR-LOW,USD-OPEN,USD-HIGH,USD-LOW,GBP-OPEN,GBP-HIGH,GBP-LOW,JPY-OPEN,JPY-HIGH,JPY-LOW,JPY
1997.11.3,1096.99,1103.15,1096.99,969.5,971,969.5,1610.4,1636.87,1609.92,8.0108,8.1045,7.937,7.9938
1997.11.4,1095.57,1100.63,1095.57,974,974.1,954,1619.02,1634.88,1592.2,7.9901,8.0426,7.7716,7.8738
1997.11.5,1110.13,1115.21,1110.13,967,973.8,967,1612.07,1639.05,1606.8,7.8986,8.0006,7.8007,7.8807
1997.11.6,1117.07,1117.67,1117.07,969.1,975.6,969.1,1623.36,1653.36,1620.95,7.8748,7.9639,7.8519,7.9114
1997.11.7,1126.52,1132.78,1126.52,980,985.4,980,1647.53,1669.76,1643.45,7.9063,8.0057,7.8376,7.881
1997.11.10,1151.71,1154.28,1151.71,982,1001.1,982,1642.49,1694.69,1638,7.9179,8.0904,7.8715,8.0148
1997.11.11,1138.17,1144.94,1138.17,999.9,999.9,985,1688.32,1705.99,1665.71,7.9989,8.0558,7.8206,7.9295
1997.11.12,1134.33,1140.59,1134.33,991,992.3,989,1679.92,1703.8,1674.77,7.9032,7.9656,7.7744,7.8245
1997.11.13,1126.98,1132.06,1126.98,984,992.2,984,1676.37,1689.93,1645.18,7.7501,7.9469,7.7409,7.8547
1997.11.14,1123.41,1129.62,1123.41,987,992,987,1669.55,1686.04,1646.48,7.8172,7.9233,7.7232,7.8708
1997.11.17,1149.22,1155.19,1149.22,990,1013.6,990,1667.86,1720.59,1660.57,7.838,8.1696,7.7816,8.0414
1997.11.18,1155.95,1162.18,1155.95,1017.8,1017.8,1015,1718.21,1727.78,1706.9,7.992,8.1158,7.9743,8.0476
1997.11.19,1177.29,1183.53,1177.29,1025,1039,1025,1708.92,1761.24,1706.9,8.0038,8.2311,7.9905,8.1474
1997.11.20,1298.46,1298.74,1298.46,1060,1139,1060,1741.22,1935.73,1738.64,8.1045,9.0487,8.0994,9.0465
1997.11.21,1198.14,1203.8,1198.14,1104.5,1112.5,1030.5,1921.72,1933.63,1732.4,9.0433,9.0841,8.1409,8.3442
1997.11.24,1230.66,1233.78,1230.66,1067.5,1122.5,1022.5,1775.14,1897.34,1722.78,8.3057,8.8574,8.0518,8.5364
1997.11.25,1269.09,1269.93,1269.09,1115.25,1125.25,1100.25,1825.85,1902.23,1823.9,8.5073,8.8672,8.4946,8.8129
1997.11.26,1247.64,1247.92,1247.64,1100,1123,1100,1881.32,1884.67,1843.05,8.803,8.8324,8.6038,8.7391
1997.11.27,1254.85,1255.8,1254.85,1100.5,1120,1100.5,1857.47,1875.72,1840.63,8.7285,8.8254,8.656,8.8184
1997.11.28,1312.76,1313.35,1312.76,1127,1172,1127,1870.74,1976.45,1869.85,8.8145,9.1852,8.7937,9.1457
1997.12.1,1318.28,1322.22,1318.28,1168,1188,1163,1977.62,1999.76,1954.02,9.1625,9.2703,9.0781,9.2146
1997.12.2,1368.11,1368.72,1368.11,1195,1280,1195,2014.53,2159.98,2007.36,9.296,9.9344,9.2414,9.5486
1997.12.3,1336.25,1339.09,1336.25,1267,1292,1152,2063.65,2172.07,1934.3,9.5438,10.0531,8.9307,9.2946
1997.12.4,1300.82,1301.4,1300.82,1125,1185,1125,2010.59,2012,1892.25,9.2758,9.2923,8.7209,8.9897
1997.12.5,1364.31,1367.39,1364.31,1147.5,1234.5,1147.5,1937.44,2053.82,1901.85,8.989,9.5636,8.8281,9.4458
1997.12.8,1485.63,1486.31,1485.63,1230,1342.4,1230,2037.25,2227.31,2032.34,9.4665,10.3315,9.4244,10.2945
